"Year","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
2006,"Roger Federer",1,"SUI","Andy Roddick",9,"USA","6–2, 4–6, 7–5, 6–1"
2007,"Roger Federer",1,"SUI","Novak Djokovic",3,"SRB","7–6(7–4), 7–6(7–2), 6–4"
2008,"Roger Federer",2,"SUI","Andy Murray",6,"GBR","6–2, 7–5, 6–2"
2009,"Juan Martin del Potro",6,"ARG","Roger Federer",1,"SUI","3–6, 7–6(7–5), 4–6, 7–6(7–4), 6–2"
2010,"Rafael Nadal",1,"ESP","Novak Djokovic",3,"SRB","6–4, 5–7, 6–4, 6–2"
2011,"Novak Djokovic",1,"SRB","Rafael Nadal",2,"ESP","6–2, 6–4, 6–7(3–7), 6–1"
2012,"Andy Murray",3,"GBR","Novak Djokovic",2,"SRB","7–6(12–10), 7–5, 2–6, 3–6, 6–2"
2013,"Rafael Nadal",2,"ESP","Novak Djokovic",1,"SRB","6–2, 3–6, 6–4, 6–1"
2014,"Marin Čilić",14,"CRO","Kei Nishikori",10,"JPN","6–3, 6–3, 6–3"
2015,"Novak Djokovic",1,"SRB","Roger Federer",2,"SUI","6–4, 5–7, 6–4, 6–4"
2016,"Stan Wawrinka",3,"SUI","Novak Djokovic",1,"SRB","6–7(1–7), 6–4, 7–5, 6–3"
2017,"Rafael Nadal",1,"ESP","Kevin Anderson",28,"RSA","6–3, 6–3, 6–4"
2018,"Novak Djokovic",6,"SRB","Juan Martin del Potro",3,"ARG","6-3,7-6(7-4), 6-3"
2019,"Rafael Nadal",2,"ESP","Daniil Medvedev",5,"RUS","7-5, 6-3, 5-7, 4-6, 6-4"
2020,"Dominic Thiem",2,"AUT","Alexander Zverev",5,"GER","2-6, 4-6, 6-4, 6-3, 7-6(8-6)"
